Personne;Arrondissement;Nom;Adresse;Code postal;Téléphone;Site;Métro;;;;;;;;;;;;;;;;;;;;
Joseph;1;Le dernier bar avant la fin du monde;19 avenue victoria;75001;01 53 00 98 95;https://dernierbar.com/;Chatelet ;;;;;;;;;;;;;;;;;;;;
Kalma;2;Les grands gamins;19 rue de Clery;75002;06 77 60 21 33;https://lesgrandsgaminsparis.fr/;Sentier;;;;;;;;;;;;;;;;;;;;
Kalma;2;The good game;78 rue de Clery;75002;09 87 45 49 16;https://goodgameparis.fr/;Strasbourg Saint-Denis;;;;;;;;;;;;;;;;;;;;
Kalma;3;Le nid cocon ludique;227 rue Saint-Martin;75003;07 82 75 23 00;https://lenid-coconludique.fr/;Arts et métiers;;;;;;;;;;;;;;;;;;;;
Kalma;3;La Cabane;76 rue Notre Dame de Nazareth;75003;06 38 60 97 95;https://www.instagram.com/lacabane_cafejeux/;Strasbourg Saint-Denis;;;;;;;;;;;;;;;;;;;;
Kalma;5;Loufoque;57 Rue Galande;75005;09 83 70 55 26;https://www.loufoque.fr/;Cluny La Sorbonne;;;;;;;;;;;;;;;;;;;;
Kalma;6;Les Caves Alliées;44 rue Grégoire de Tour;75006;06 16 77 55 69;https://linktr.ee/lescavesalliees;Odéon;;;;;;;;;;;;;;;;;;;;
Kyojin;9;Le Chauve Qui Rit;29 rue de Maubeuge;75009;06 62 67 12 66;https://www.lechauvequirit.com/;Cadet;;;;;;;;;;;;;;;;;;;;
Kyojin;10;Café Meisia;84 Rue René Boulanger;75010;01 40 18 48 52;https://cafemeisia.com/;Strasbourg Saint Denis;;;;;;;;;;;;;;;;;;;;
Joseph;11;Les Mauvais Joueurs;46 Rue Sedaine;75011;06 50 66 79 21;https://www.lesmauvaisjoueurs.com/;Voltaire;;;;;;;;;;;;;;;;;;;;
Joseph;11;Le Duchesse;36 rue de l’Orillon;75011;07 62 38 87 54;www.leduchesseparis.fr;Belleville;;;;;;;;;;;;;;;;;;;;
Joseph;11;Au Bonheur des Jeux;21 Boulevard de Charonne;75011;01 43 37 29 96;https://aubonheurdesjeux.com/;Nation;;;;;;;;;;;;;;;;;;;;
Joseph;11;OberJeux;47 rue de la Folie Méricourt;75011;01 83 64 68 94;www.ultrajeux.com;Oberkampf;;;;;;;;;;;;;;;;;;;;
Joseph;12;La revanche;38 Avenue Daumesnil;75012;06 38 14 90 09;www.larevanche-bistrotludique.com/;Gare de Lyon;;;;;;;;;;;;;;;;;;;;
Laura;11;Au Dé 12;126 avenue de la République;75011;01 86 04 78 52;https://www.au-de12paris.com/;Père Lachaise;;;;;;;;;;;;;;;;;;;;
Laura;12;Multivers (Ground control);80 rue du charolais;75012;01 48 24 34 02;https://www.groundcontrolparis.com/multivers/;Gare de Lyon, Reuilly-Diderot, Montgallet;;;;;;;;;;;;;;;;;;;;
Laura;12;Le 3bis;41 rue des Pirogues de Bercy;75012;01 71 25 26 37;https://le3bis.com/;Cour Saint-Emilion;;;;;;;;;;;;;;;;;;;;
Laura;12;La Taverne De Fwinax;32 rue Traversière;75012;07 69 26 46 87;https://www.facebook.com/p/La-Taverne-de-Fwinax-100087501427363/;Gare de Lyon;;;;;;;;;;;;;;;;;;;;
Kyojin;13;Oya Café;25 rue de la Reine Blanche;75013;01 47 07 59 59;http://www.oya.fr/;Les Gobelins;;;;;;;;;;;;;;;;;;;;
Kyojin;17;Aux Dés Calés XVIIème;181 Rue Legendre;75017;01 47 70 01 09;https://www.auxdescales17.fr/;Guy Moquet;;;;;;;;;;;;;;;;;;;;
Laura;18;Aux dés calés XVIIIème;11 Rue Hégésippe Moreau;75018;01 42 66 95 43;https://www.auxdescales18.fr/;La Fourche;;;;;;;;;;;;;;;;;;;;
Laura;19;Jovial;21 Avenue Jean Jaurès;75019;01 86 04 44 66;https://www.jovialparis.fr/;Jaurès;;;;;;;;;;;;;;;;;;;;
Laura;20;Les Gentlemen du Jeu;13 avenue du père Lachaise;75020;06 59 06 81 60;https://lesgentlemendujeu.com/;Gambetta;;;;;;;;;;;;;;;;;;;;
Laura;20;Café Jeux Natema;39 Rue des Orteaux;75020;01 43 73 75 25;https://www.facebook.com/cafejeuxnatema/;Alexandre Dumas;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
